PDB,label,year,resolution,type,operation,data
4b0j,2.1487416512809245,2012,2.50,Kd,=,7.1mM
4q90,2.154901959985743,2015,1.54,Ki,=,7.0mM
5cs3,2.154901959985743,2015,2.50,Kd,=,7.0mM
2ay9,2.161150909262745,1999,2.50,Kd,=,6.9mM
4tim,2.161150909262745,1992,2.40,Ki,=,6.9mM
3gqz,2.1739251972991736,2009,1.80,Ki,=,6.7mM
3l7d,2.183758700008217,2010,2.00,Ki,=,6.55mM
4ahr,2.1870866433571443,2012,1.90,Kd,=,6.5mM
4ahs,2.193820026016113,2012,1.75,Kd,=,6.4mM
4amx,2.1870866433571443,2013,2.10,Ki,=,6.5mM
4jdf,2.193820026016113,2013,1.69,Kd,=,6.4mM
4mre,2.193820026016113,2014,1.58,Kd,=,6.4mM
1w1v,2.2006594505464183,2005,1.85,IC50,=,6.3mM
2vvo,2.2006594505464183,2008,1.85,IC50,=,6.3mM
4eh8,2.2043284940539785,2012,2.20,IC50,=,6247uM
1x8d,2.2104192878355744,2005,1.80,Kd,=,6.16mM
4g0z,2.212539525481585,2012,1.75,Kd,=,6.13mM
1icj,2.221848749616356,1999,1.90,Ki,=,6mM
1m0n,2.221848749616356,2002,2.20,Ki,=,6.0mM
2aac,2.221848749616356,1997,1.60,Kd,=,6mM
4aci,2.221848749616356,2012,1.65,Kd,=,6mM
4uru,2.221848749616356,2015,2.83,Kd,=,6.0mM
4ury,2.221848749616356,2015,2.47,Kd,=,6.0mM
4x11,2.221848749616356,2015,2.30,Kd,=,6mM
1ajp,2.2328441339178196,1997,2.31,Ki,=,5.85mM
2igv,2.2291479883578558,2007,1.67,Kd,=,5.9mM
3ao5,2.2291479883578558,2011,1.80,Kd,=,5.9mM
3i3b,2.2291479883578558,2010,2.20,Ki,=,5.9mM
1rdl,2.2441251443275085,1996,1.70,Ki,=,5.7mM
2ay8,2.2365720064370627,1999,2.20,Kd,=,5.8mM
2os9,2.2441251443275085,2007,1.70,IC50,=,5.7mM
1ukt,2.2518119729937998,2004,2.20,IC50,>,5600uM
1ew8,2.2596373105057563,2002,2.20,Ki,=,5.5mM
3ao1,2.2596373105057563,2011,1.90,Kd,=,5.5mM
4eh9,2.2633645023131788,2012,2.10,IC50,=,5453uM
4np2,2.2596373105057563,2014,1.75,Kd,=,5.5mM
1hge,2.2676062401770314,1994,2.60,Kd,=,5.4mM
1uto,2.2740883677049517,2004,1.15,Kd,=,5.32mM
4ahu,2.2676062401770314,2012,1.90,Kd,=,5.4mM
4mfe,2.2676062401770314,2013,2.61,Ki,=,5.4mM
1ps3,2.283996656365201,2003,1.80,Ki,=,5.2mM
2rjs,2.275724130399211,2008,2.40,IC50,=,5.3mM
3fu0,2.275069085807602,2009,1.80,IC50,=,5308uM
3ip8,2.283996656365201,2009,1.50,Ki,=,5.2mM
2ay1,2.289036881004724,1999,2.20,Kd,=,5.14mM
4ddk,2.2924298239020637,2013,1.75,Kd,=,5.1mM
4ehv,2.2921744316677684,2012,1.60,IC50,=,5103uM
1hyv,2.3010299956639813,2001,1.70,IC50,>,5mM
1inh,2.3010299956639813,1996,2.40,IC50,=,5mM
1jdj,2.3010299956639813,2002,2.20,IC50,=,5mM
1n1g,2.3010299956639813,2003,2.50,IC50,~,5mM
1o4g,2.3010299956639813,2004,1.55,IC50,>,5mM
1uxa,2.3010299956639813,2004,1.50,Kd,=,5mM
1w1p,2.3010299956639813,2005,2.10,IC50,=,5.0mM
2ay7,2.3010299956639813,1999,2.40,Kd,=,5.0mM
2hdu,2.3010299956639813,2006,1.49,Ki,=,5mM
2xix,2.3010299956639813,2011,2.40,IC50,>,5000uM
2xlc,2.3010299956639813,2011,2.70,Ki,~,5mM
3dyo,2.3010299956639813,2008,1.80,Ki,=,5.0mM
3kgq,2.3010299956639813,2010,1.70,Ki,=,5mM
3mhw,2.2984320149440727,2010,1.45,Ki,=,5.03mM
3pcg,2.3010299956639813,1998,1.96,Ki,=,5mM
3rv4,2.3010299956639813,2011,1.98,Ki,=,5mM
4b6e,2.3010299956639813,2012,2.46,IC50,>,5mM
4e3d,2.3010299956639813,2012,1.60,IC50,=,5mM
4g0y,2.3018994543766103,2012,1.65,Kd,=,4.99mM
4jsz,2.3010299956639813,2013,1.90,Ki,=,5000uM
4led,2.3010299956639813,2014,2.37,Kd,~,5mM
4wh7,2.3010299956639813,2014,1.62,IC50,>,5mM
1m0o,2.309803919971486,2002,2.40,Ki,=,4.9mM
4y0a,2.305394801066431,2015,1.91,Ki,=,4950uM
2qve,2.318758762624413,2008,2.00,IC50,=,4.8mM
5aol,2.318758762624413,2015,1.50,Kd,=,4800uM
1z6d,2.337242168318426,2005,1.54,Ki,=,4.6mM
4iie,2.337242168318426,2013,2.00,Ki,=,4.6mM
1qi0,2.346787486224656,2000,2.10,Ki,=,4.5mM
3gtc,2.346787486224656,2009,1.90,Ki,=,4.5mM
4k3k,2.3526170298853804,2013,1.85,IC50,=,4.44mM
1o4j,2.3565473235138126,2004,1.70,IC50,=,4.4mM
3g2z,2.3565473235138126,2009,1.50,Ki,=,4.4mM
3t0d,2.3665315444204134,2012,1.93,Ki,=,4.3mM
4jck,2.3665315444204134,2013,1.15,Kd,=,4.3mM
6rnt,2.3665315444204134,1993,1.80,Kd,=,4.3mM
3f6e,2.382999658879101,2008,1.34,Kd,=,4.14mM
4aj2,2.3767507096020997,2012,1.75,Kd,=,4200uM
1f73,2.3872161432802645,2000,1.95,Ki,=,4.1mM
1nwl,2.3872161432802645,2003,2.40,Ki,=,4.1mM
4nyt,2.3872161432802645,2014,2.25,Kd,=,4.1mM
4tya,2.393618634889395,2015,2.94,Kd,=,4.04mM
1cam,2.3979400086720375,1993,1.70,Kd,=,4mM
2wi1,2.3979400086720375,2009,2.30,IC50,>,4000uM
3dxg,2.3979400086720375,2009,1.39,Ki,=,4.0mM
3l7b,2.396855627379818,2010,2.00,Ki,=,4.01mM
3pcb,2.3979400086720375,1998,2.19,Ki,=,4mM
3t2t,2.3979400086720375,2011,1.90,Kd,>,4mM
4u5l,2.3979400086720375,2015,2.53,Kd,=,4.0mM
4zsm,2.3979400086720375,2015,1.96,IC50,~,4mM
1o4r,2.408935392973501,2004,1.50,IC50,=,3.9mM
2wsx,2.408935392973501,2010,3.50,Kd,=,3.9mM
4u5s,2.408935392973501,2015,2.12,Kd,=,3.9mM
4u5o,2.42021640338319,2015,2.00,Kd,=,3.8mM
1o4h,2.4436974992327127,2004,2.25,IC50,=,3.6mM
1oba,2.4436974992327127,2003,2.45,Kd,=,3.6mM
1t4s,2.4436974992327127,2004,2.80,Ki,=,3.6mM
2i2b,2.4436974992327127,2007,2.10,Ki,=,3.6mM
2xiy,2.4436974992327127,2011,2.20,IC50,=,3600uM
3ked,2.4436974992327127,2010,2.30,IC50,=,3.6mM
3l7c,2.4353339357479107,2010,1.93,Ki,=,3.67mM
3mjl,2.4436974992327127,2010,1.90,Ki,=,3.6mM
4d62,2.438898616350944,2015,2.50,Kd,=,3.64mM
1gbq,2.4559319556497243,1997,NMR,Kd,=,3.5mM
1o4o,2.4559319556497243,2004,1.70,IC50,=,3.5mM
2aez,2.4559319556497243,2006,3.05,Ki,=,3.5mM
3l79,2.4609239012072233,2010,1.86,Ki,=,3.46mM
4ah9,2.4559319556497243,2012,1.70,Kd,=,3.5mM
4ddm,2.4559319556497243,2013,1.83,Kd,=,3.5mM
4eh6,2.459545386328588,2012,2.10,IC50,=,3471uM
4x8u,2.4559319556497243,2015,2.10,Ki,=,3.5mM
1tok,2.468521082957745,2004,1.85,Kd,=,3.4mM
1utl,2.4672456210075024,2004,1.70,Kd,=,3.41mM
3rik,2.468521082957745,2012,2.48,IC50,=,3.4mM
4gne,2.468521082957745,2013,1.47,Kd,=,3.4mM
1gyx,2.4814860601221125,2002,1.35,Ki,=,3.3mM
4u5n,2.4814860601221125,2015,2.31,Kd,=,3.3mM
1o4q,2.494850021680094,2004,1.70,IC50,=,3.2mM
4efk,2.494850021680094,2013,1.70,Kd,=,3.2mM
4ej2,2.4943074925878,2012,2.65,Ki,=,3204uM
4kz7,2.494850021680094,2014,1.43,Ki,=,3.2mM
1ai4,2.5044556624535517,1997,2.35,Ki,=,3.13mM
3g30,2.5086383061657274,2009,1.80,Ki,=,3.1mM
4ctj,2.505845405981557,2014,1.47,IC50,=,3.12mM
1rq2,2.5228787452803374,2004,1.86,IC50,=,3mM
1wdr,2.515700160653214,2005,1.35,Kd,=,3.05mM
3ad7,2.521433504406157,2010,2.20,Kd,=,3.01mM
3bf1,2.5228787452803374,2008,2.30,Kd,=,3mM
3fq7,2.5228787452803374,2009,2.15,IC50,=,3mM
3gr2,2.5228787452803374,2009,1.80,Ki,=,3mM
3mfv,2.5228787452803374,2010,1.90,Ki,=,3000uM
3vdb,2.518557371497695,2012,2.05,Ki,=,3.03mM
4e3f,2.5228787452803374,2012,1.50,IC50,=,3mM
4g0q,2.5228787452803374,2012,1.80,Kd,=,3.00mM
4urz,2.5228787452803374,2015,2.24,Kd,=,3.0mM
4hj2,2.530177984021837,2013,2.10,Kd,=,2.95mM
1iup,2.537602002101044,2002,1.60,Ki,=,2.9mM
1il3,2.5528419686577806,2002,2.80,IC50,=,2.8mM
1kf0,2.5528419686577806,2002,2.50,Kd,=,2.80mM
3b3s,2.5528419686577806,2007,1.18,Ki,=,2800uM
3ovn,2.5528419686577806,2011,1.95,Kd,=,2.8mM
1gwv,2.571865205971211,2003,2.50,Kd,=,2.68mM
2ria,2.5686362358410126,2008,1.80,IC50,=,2.7mM
2wq4,2.5686362358410126,2010,1.42,Kd,=,2700uM
3kgp,2.571865205971211,2009,2.35,Ki,=,2.68mM
2ay5,2.585026652029182,1999,2.40,Kd,=,2.6mM
2jst,2.585026652029182,2008,NMR,Kd,=,2.6mM
3gvb,2.585026652029182,2009,1.80,Ki,=,2.6mM
4o3a,2.5900668766687054,2014,1.80,Ki,=,2.57mM
4o3c,2.5900668766687054,2014,1.50,Ki,=,2.57mM
4wef,2.5888855814490954,2015,2.50,Ki,=,2577uM
1o4p,2.6020599913279625,2004,1.90,IC50,=,2.5mM
2c4v,2.6020599913279625,2006,2.50,Ki,=,2.5mM
2r5a,2.6020599913279625,2007,2.30,Kd,=,2.5mM
3gwv,2.595166283380062,2009,2.35,IC50,=,2.54mM
3rxf,2.6020599913279625,2011,1.70,IC50,=,2.5mM
4up5,2.6020599913279625,2014,1.65,Kd,=,2.5mM
1cze,2.619788758288394,2000,2.40,Kd,=,2.4mM
1w1y,2.619788758288394,2005,1.85,IC50,=,2.4mM
2kfh,2.619788758288394,2009,NMR,Kd,=,2.4mM
3f37,2.619788758288394,2009,1.54,Kd,=,2.4mM
3f38,2.619788758288394,2009,1.75,Kd,=,2.4mM
3fk1,2.616184634019569,2009,1.70,Ki,=,2420uM
3rxl,2.619788758288394,2011,1.70,IC50,=,2.4mM
4lnf,2.619788758288394,2013,2.95,IC50,=,2.4mM
4lno,2.619788758288394,2013,2.90,Kd,=,2.4mM
1ajn,2.6345120151091,1997,2.36,Ki,=,2.32mM
1g5f,2.6363880201078556,2001,1.80,Ki,=,2.31mM
1o4i,2.638272163982407,2004,1.75,IC50,=,2.3mM
3p1d,2.638272163982407,2010,1.86,IC50,=,2.3mM
4i8x,2.638272163982407,2013,2.23,Kd,=,2.3mM
4q7w,2.638272163982407,2015,1.45,Ki,=,2300uM
4q8y,2.638272163982407,2015,1.45,Ki,=,2300uM
4ufl,2.638272163982407,2015,2.40,Ki,=,2.3mM
1il5,2.657577319177794,2002,2.80,IC50,=,2.2mM
3a1e,2.657577319177794,2009,1.95,Kd,=,2.2mM
3rxb,2.657577319177794,2011,1.70,IC50,=,2.2mM
4y2p,2.657577319177794,2015,2.05,IC50,=,2200uM
3lvw,2.6736641390712483,2010,2.50,Ki,=,2.12mM
1hgi,2.6777807052660805,1994,2.70,Kd,=,2.1mM
1o8b,2.6777807052660805,2003,1.25,Ki,=,2.1mM
2q72,2.679853713888946,2007,1.70,IC50,=,2.09mM
3rxk,2.6777807052660805,2011,1.60,IC50,=,2.1mM
4b3c,2.6777807052660805,2013,1.90,Kd,=,2.1mM
4b3d,2.6777807052660805,2013,1.59,Kd,=,2.1mM
3elc,2.694648630553376,2009,2.50,Kd,=,2.02mM
4usw,2.692503962086787,2014,2.05,Kd,=,2.03mM
1br5,2.6989700043360187,1998,2.50,Ki,>,2mM
1gym,2.6989700043360187,1996,2.20,IC50,=,2mM
1lt5,2.6989700043360187,1997,1.70,IC50,=,2mM
1tc1,2.6989700043360187,1999,1.41,IC50,>,2mM
1ylv,2.6989700043360187,2000,2.15,Ki,=,2.0mM
2fzc,2.701146923590293,2006,2.10,Ki,=,1990uM
2ha4,2.6989700043360187,2006,2.56,Kd,=,2.0mM
2krd,2.6989700043360187,2010,NMR,Kd,=,2000uM
2ohk,2.6989700043360187,2007,2.20,IC50,~,2000uM
2ow6,2.6989700043360187,2008,1.19,IC50,=,2mM
2uyn,2.6989700043360187,2007,1.60,Kd,=,2mM
3bra,2.6989700043360187,2008,2.30,Kd,=,2000uM
3ftz,2.6989700043360187,2010,2.00,IC50,>,2mM
3fud,2.6989700043360187,2009,2.20,IC50,=,2000uM
3fuf,2.6989700043360187,2009,2.60,IC50,=,2000uM
3fuh,2.6989700043360187,2009,1.80,IC50,=,2000uM
3gk2,2.6989700043360187,2009,1.98,Kd,=,2mM
3gsg,2.6989700043360187,2009,2.10,Ki,=,2mM
3hvg,2.6989700043360187,2009,2.26,IC50,=,2mM
3rqw,2.6989700043360187,2012,2.91,Kd,=,2mM
3sl0,2.6989700043360187,2011,2.00,Ki,=,2mM
3zsw,2.6989700043360187,2012,1.80,Kd,>,2000uM
3zsz,2.6989700043360187,2012,2.00,Kd,>,2000uM
3zt1,2.6989700043360187,2012,1.75,Kd,>,2000uM
4h4b,2.6989700043360187,2012,2.90,Ki,=,2.0mM
4okp,2.6989700043360187,2014,1.37,Ki,<,2mM
4old,2.6989700043360187,2014,1.48,Ki,>,2mM
4wks,2.6989700043360187,2014,1.63,Ki,=,2mM
4ypf,2.6989700043360187,2015,2.20,IC50,>,2mM
4yrc,2.6989700043360187,2015,2.10,IC50,>,2mM
4yrg,2.6989700043360187,2015,2.15,IC50,>,2mM
4yrr,2.6989700043360187,2015,2.30,IC50,>,2mM
5aok,2.6989700043360187,2015,1.35,Kd,>,2000uM
4kpz,2.709965388637482,2014,2.09,IC50,=,1950uM
1pfu,2.721246399047171,2004,1.91,Kd,=,1900uM
2rkd,2.721246399047171,2008,1.90,Ki,=,1.9mM
3p4r,2.721246399047171,2010,3.05,Ki,=,1.9mM
1dg9,2.744727494896694,1999,1.90,Ki,=,1.8mM
2qwb,2.7399286120149253,1998,2.00,Ki,=,1820uM
2vyt,2.7351821769904636,2008,1.90,Kd,=,1.84mM
4m6u,2.744727494896694,2014,1.80,Ki,=,1.8mM
4ndu,2.744727494896694,2014,1.30,Kd,=,1.8mM
1rql,2.7471469690201067,2004,2.40,Ki,=,1.79mM
1ny2,2.7569619513137056,2003,2.30,Ki,=,1.75mM
4bt5,2.7644715530924513,2013,1.10,Ki,=,1.72mM
2bet,2.769551078621726,2004,2.20,Ki,=,1.7mM
2p3o,2.769551078621726,2007,2.76,IC50,=,1.7mM
3fcq,2.769551078621726,2009,1.75,Ki,=,1.7mM
3l0n,2.774690718274137,2010,1.74,IC50,=,1680uM
4a4h,2.768020973168496,2011,NMR,Kd,=,1.706mM
4g5y,2.769551078621726,2013,1.80,Kd,=,1.7mM
4kz3,2.769551078621726,2014,1.67,Ki,=,1.7mM
4urv,2.769551078621726,2015,2.58,Kd,=,1.7mM
4ykk,2.769551078621726,2015,1.38,Ki,=,1.7mM
2yiv,2.779891911959945,2012,1.28,Ki,=,1.66mM
3ftw,2.7772835288524167,2009,1.85,IC50,=,1.67mM
4yrt,2.7825160557860937,2015,2.05,IC50,=,1.65mM
2bge,2.795880017344075,2005,1.80,IC50,=,1.6mM
2bza,2.8013429130455774,1999,1.90,Ki,=,1.58mM
3zt4,2.8041003475907664,2012,2.20,Kd,=,1570uM
4kz8,2.795880017344075,2014,2.28,Ki,=,1.6mM
4urw,2.795880017344075,2015,2.76,Kd,=,1.6mM
4yw2,2.795880017344075,2015,2.00,Kd,=,1.6mM
3djx,2.8074604226852813,2009,1.69,Ki,=,1557.9uM
4eh4,2.814174640387038,2012,2.50,IC50,=,1534uM
4oyt,2.8096683018297086,2014,2.40,Ki,=,1.55mM
4rrg,2.8129024994165226,2015,1.93,Kd,=,1538.5uM
1czc,2.8239087409443187,2000,2.50,Kd,=,1.5mM
1p17,2.8239087409443187,2004,2.70,Kd,=,1.5mM
2a3a,2.8239087409443187,2005,2.10,IC50,=,1500uM
2rib,2.8239087409443187,2008,1.80,IC50,=,1.5mM
2w6z,2.8239087409443187,2009,1.90,IC50,=,1500uM
2xj0,2.8239087409443187,2011,3.10,IC50,=,1500uM
2yc0,2.8239087409443187,2011,2.15,IC50,=,1500uM
3fue,2.8210230527068307,2009,2.38,IC50,=,1510uM
3lka,2.8239087409443187,2010,1.80,Kd,=,1.5mM
3ppr,2.8239087409443187,2011,2.10,Kd,=,1.5mM
4dsu,2.8239087409443187,2012,1.70,Kd,=,1.5mM
4k7i,2.8239087409443187,2014,2.25,Kd,=,1500uM
4pb1,2.815308569182401,2014,2.80,Kd,=,1530uM
4z46,2.8210230527068307,2015,1.85,Kd,=,1.51mM
4yz5,2.8297382846050425,2015,2.27,Kd,=,1.48mM
3fu3,2.840733668906506,2009,2.00,IC50,=,1443uM
3moh,2.835647144215563,2010,2.10,Ki,=,1460uM
3zt2,2.843148098929989,2012,1.70,Kd,=,1435uM
4cgj,2.835647144215563,2013,2.15,Kd,=,1460uM
1il4,2.853871964321762,2002,2.60,IC50,=,1.4mM
2a29,2.853871964321762,2005,NMR,Kd,=,1.4mM
2ork,2.853871964321762,2007,1.89,IC50,=,1.4mM
3atk,2.853871964321762,2011,1.74,IC50,=,1400uM
3k3g,2.853871964321762,2009,2.40,IC50,=,1.4mM
3rxa,2.853871964321762,2011,1.70,IC50,=,1.4mM
3udh,2.853871964321762,2012,1.70,Kd,=,1.4mM
4luv,2.853871964321762,2013,1.40,Kd,=,1400uM
4mlt,2.853871964321762,2014,2.00,Ki,=,1.4mM
4x47,2.85078088734462,2015,2.00,IC50,=,1.41mM
4ym2,2.853871964321762,2015,2.10,Kd,=,1400uM
3qx8,2.8632794328435933,2011,2.30,Kd,=,1.37mM
3zt3,2.8616973018337184,2012,1.95,Kd,=,1375uM
4ouj,2.856985199745905,2014,1.46,Kd,=,1.39mM
4pd5,2.8632794328435933,2014,2.91,Kd,=,1370uM
4fgz,2.869666231504994,2012,1.99,IC50,=,1350uM
1e34,2.87942606879415,2000,1.80,Ki,=,1.32mM
2woq,2.876148359032914,2009,1.75,Ki,=,1.33mM
4a4f,2.880414225038216,2011,NMR,Kd,=,1.317mM
4ucv,2.8827287043442356,2015,2.60,IC50,=,1310uM
1cet,2.886056647693163,1999,2.05,Ki,=,1.3mM
1iih,2.886056647693163,2001,2.20,Ki,=,1.3mM
1ugp,2.886056647693163,2004,1.63,Ki,=,1.3mM
